run_id,runtime,version,prompt_id,expected,iter,detected,duration_s,raw_file
# runtime=codex version=codex-cli 0.149.0 N=1 date=20260821-1841 workdir=/private/tmp/claude-501/-Users-luna-Desktop-nonsync-teams-100-thieves-moimyeon-backend/e966d740-32af-40e9-afef-f3fb68767609/scratchpad/eval-wt-ic-codex timeout=240s
20260821-1841,codex,codex-cli 0.149.0,p1,yes,1,yes,118,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/issue-context-codex-20260821-1841/p1-1.jsonl
20260821-1841,codex,codex-cli 0.149.0,p2,yes,1,yes,89,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/issue-context-codex-20260821-1841/p2-1.jsonl
20260821-1841,codex,codex-cli 0.149.0,p3,yes,1,yes,207,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/issue-context-codex-20260821-1841/p3-1.jsonl
20260821-1841,codex,codex-cli 0.149.0,p4,yes,1,yes,154,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/issue-context-codex-20260821-1841/p4-1.jsonl
20260821-1841,codex,codex-cli 0.149.0,p5,yes,1,yes,176,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/issue-context-codex-20260821-1841/p5-1.jsonl
20260821-1841,codex,codex-cli 0.149.0,n1,no,1,no,164,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/issue-context-codex-20260821-1841/n1-1.jsonl
20260821-1841,codex,codex-cli 0.149.0,n2,no,1,no,116,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/issue-context-codex-20260821-1841/n2-1.jsonl
20260821-1841,codex,codex-cli 0.149.0,n3,no,1,no,42,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/issue-context-codex-20260821-1841/n3-1.jsonl
20260821-1841,codex,codex-cli 0.149.0,n4,no,1,yes,39,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/issue-context-codex-20260821-1841/n4-1.jsonl
20260821-1841,codex,codex-cli 0.149.0,n5,no,1,no,48,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/issue-context-codex-20260821-1841/n5-1.jsonl
20260821-1841,codex,codex-cli 0.149.0,b1,boundary,1,no,5533,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/issue-context-codex-20260821-1841/b1-1.jsonl
20260821-1841,codex,codex-cli 0.149.0,b2,boundary,1,yes,96,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/issue-context-codex-20260821-1841/b2-1.jsonl
