run_id,model,skill,prompt_id,expected,detected,duration_s
# 모델 변동성 확인 — sonnet 라운드와 동일 조건, model=claude-opus-5
20260825-1209,opus,issue-context,p1,yes,yes,147
20260825-1209,opus,issue-context,p2,yes,yes,28
20260825-1209,opus,issue-context,n1,no,no,36
20260825-1209,opus,requirement-implementation,p1,yes,yes,29
20260825-1209,opus,requirement-implementation,p2,yes,yes,31
20260825-1209,opus,requirement-implementation,n1,no,no,29
20260825-1209,opus,api-spec-definition,p1,yes,yes,33
20260825-1209,opus,api-spec-definition,p2,yes,yes,38
20260825-1209,opus,api-spec-definition,n1,no,no,27
20260825-1209,opus,api-connection,p1,yes,yes,26
20260825-1209,opus,api-connection,p2,yes,yes,29
20260825-1209,opus,api-connection,n1,no,no,25
20260825-1209,opus,entity-design,p1,yes,yes,33
20260825-1209,opus,entity-design,p2,yes,yes,22
20260825-1209,opus,entity-design,n1,no,no,150
20260825-1209,opus,ship-pr,p1,yes,no,44
20260825-1209,opus,ship-pr,p2,yes,yes,30
20260825-1209,opus,ship-pr,n1,no,no,24
20260825-1209,opus,prompt-change,p1,yes,yes,31
20260825-1209,opus,prompt-change,p2,yes,yes,27
20260825-1209,opus,prompt-change,n1,no,no,32
20260825-1209,opus,infra-change,p1,yes,yes,25
20260825-1209,opus,infra-change,p2,yes,yes,30
20260825-1209,opus,infra-change,n1,no,no,24
20260825-1209,opus,incident-response,p1,yes,yes,40
20260825-1209,opus,incident-response,p2,yes,yes,35
20260825-1209,opus,incident-response,n1,no,no,40
