run_id,model,skill,prompt_id,expected,detected,duration_s
# 라우팅 표 등재 후 재측정. model=claude-sonnet-5 명시, N=1, 스킬당 p1·p2·n1
20260825-0348,sonnet,issue-context,p1,yes,yes,22
20260825-0348,sonnet,issue-context,p2,yes,yes,23
20260825-0348,sonnet,issue-context,n1,no,no,29
20260825-0348,sonnet,requirement-implementation,p1,yes,yes,21
20260825-0348,sonnet,requirement-implementation,p2,yes,yes,22
20260825-0348,sonnet,requirement-implementation,n1,no,no,24
20260825-0348,sonnet,api-spec-definition,p1,yes,yes,27
20260825-0348,sonnet,api-spec-definition,p2,yes,yes,21
20260825-0348,sonnet,api-spec-definition,n1,no,no,21
20260825-0348,sonnet,api-connection,p1,yes,yes,21
20260825-0348,sonnet,api-connection,p2,yes,yes,21
20260825-0348,sonnet,api-connection,n1,no,no,25
20260825-0348,sonnet,entity-design,p1,yes,yes,21
20260825-0348,sonnet,entity-design,p2,yes,yes,21
20260825-0348,sonnet,entity-design,n1,no,no,34
20260825-0348,sonnet,ship-pr,p1,yes,yes,35
20260825-0348,sonnet,ship-pr,p2,yes,no,16
20260825-0348,sonnet,ship-pr,n1,no,no,21
20260825-0348,sonnet,prompt-change,p1,yes,yes,32
20260825-0348,sonnet,prompt-change,p2,yes,yes,28
20260825-0348,sonnet,prompt-change,n1,no,no,27
20260825-0348,sonnet,infra-change,p1,yes,yes,36
20260825-0348,sonnet,infra-change,p2,yes,yes,28
20260825-0348,sonnet,infra-change,n1,no,no,34
20260825-0348,sonnet,incident-response,p1,yes,yes,28
20260825-0348,sonnet,incident-response,p2,yes,yes,43
20260825-0348,sonnet,incident-response,n1,no,no,12
