run_id,runtime,version,prompt_id,expected,iter,detected,duration_s,raw_file
# runtime=claude version=2.1.239 (Claude Code) N=1 date=20260824-1503 workdir=/private/tmp/claude-501/-Users-luna-Desktop-nonsync-teams-100-thieves-moimyeon-backend/27b45e1c-be58-4119-9903-c7a6e4defbc6/scratchpad/eval4-claude timeout=240s
20260824-1503,claude,2.1.239 (Claude Code),p1,yes,1,yes,40,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/ship-pr-claude-20260824-1503/p1-1.jsonl
20260824-1503,claude,2.1.239 (Claude Code),p2,yes,1,yes,50,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/ship-pr-claude-20260824-1503/p2-1.jsonl
20260824-1503,claude,2.1.239 (Claude Code),p3,yes,1,yes,45,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/ship-pr-claude-20260824-1503/p3-1.jsonl
20260824-1503,claude,2.1.239 (Claude Code),p4,yes,1,yes,48,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/ship-pr-claude-20260824-1503/p4-1.jsonl
20260824-1503,claude,2.1.239 (Claude Code),p5,yes,1,yes,47,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/ship-pr-claude-20260824-1503/p5-1.jsonl
20260824-1503,claude,2.1.239 (Claude Code),n1,no,1,no,42,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/ship-pr-claude-20260824-1503/n1-1.jsonl
20260824-1503,claude,2.1.239 (Claude Code),n2,no,1,no,27,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/ship-pr-claude-20260824-1503/n2-1.jsonl
20260824-1503,claude,2.1.239 (Claude Code),n3,no,1,no,50,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/ship-pr-claude-20260824-1503/n3-1.jsonl
20260824-1503,claude,2.1.239 (Claude Code),n4,no,1,no,41,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/ship-pr-claude-20260824-1503/n4-1.jsonl
20260824-1503,claude,2.1.239 (Claude Code),n5,no,1,no,50,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/ship-pr-claude-20260824-1503/n5-1.jsonl
20260824-1503,claude,2.1.239 (Claude Code),b1,boundary,1,no,161,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/ship-pr-claude-20260824-1503/b1-1.jsonl
20260824-1503,claude,2.1.239 (Claude Code),b2,boundary,1,no,52,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/ship-pr-claude-20260824-1503/b2-1.jsonl
