run_id,runtime,version,prompt_id,expected,iter,detected,duration_s,raw_file
# runtime=claude version=2.1.239 (Claude Code) N=2 date=20260823-1510 workdir=/private/tmp/claude-501/-Users-luna-Desktop-nonsync-teams-100-thieves-moimyeon-backend/2a6a6fb7-656c-4acb-b38a-4e6e13bebc18/scratchpad/eval3-claude timeout=240s
20260823-1510,claude,2.1.239 (Claude Code),p1,yes,1,yes,41,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/api-connection-claude-20260823-1510/p1-1.jsonl
20260823-1510,claude,2.1.239 (Claude Code),p1,yes,2,yes,33,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/api-connection-claude-20260823-1510/p1-2.jsonl
20260823-1510,claude,2.1.239 (Claude Code),p2,yes,1,yes,43,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/api-connection-claude-20260823-1510/p2-1.jsonl
20260823-1510,claude,2.1.239 (Claude Code),p2,yes,2,yes,37,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/api-connection-claude-20260823-1510/p2-2.jsonl
20260823-1510,claude,2.1.239 (Claude Code),p3,yes,1,yes,35,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/api-connection-claude-20260823-1510/p3-1.jsonl
20260823-1510,claude,2.1.239 (Claude Code),p3,yes,2,yes,39,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/api-connection-claude-20260823-1510/p3-2.jsonl
20260823-1510,claude,2.1.239 (Claude Code),p4,yes,1,yes,33,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/api-connection-claude-20260823-1510/p4-1.jsonl
20260823-1510,claude,2.1.239 (Claude Code),p4,yes,2,yes,44,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/api-connection-claude-20260823-1510/p4-2.jsonl
20260823-1510,claude,2.1.239 (Claude Code),p5,yes,1,yes,26,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/api-connection-claude-20260823-1510/p5-1.jsonl
20260823-1510,claude,2.1.239 (Claude Code),p5,yes,2,yes,33,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/api-connection-claude-20260823-1510/p5-2.jsonl
20260823-1510,claude,2.1.239 (Claude Code),n1,no,1,no,39,/Users/luna/Desktop_nonsync/teams/100-thieves/moimyeon-backend/worklog/MOI-474/evals/raw/api-connection-claude-20260823-1510/n1-1.jsonl
